,UNI,Status,JobType,Price (tax not included),Pricewithtax,Date,Time,Notes,Employee UNI,Paid/Unpaid,,,,,,,,,
,,,,,,1/21,,,,,,,,,,,,,
,,,,,,1/22,,,,,,,,,,,,,
,,,,,,1/23,,,,,,,,,,,,,
,,,,,,1/24,,,,,,,,,,,,,
myr2107_haha.jpg,myr2107,Completed,Heavyweight Bond,$42.00 ,45.73,1/25,,36x80,sjh2175,Paid,,,,,,,,,
ek2801_cover.pdf,ek2801,Completed,Mylar,$9.00 ,9.80,1/25,,36x9,sjh2175,Unpaid,,,,,,,,,
,,,,,,1/26,,,,,,,,,,,,,
bpv2102_x-terrain_boards_print_version.pdf,bpv2102,Completed,Lightweight Bond,$8.00 ,0.00,1/27,,36x24,lmj2132,Paid,,,,,,,,,
mtk2127 Rothstein Photo Grid.pdf,mtk2127,Completed,Heavyweight Bond,$12.00 ,0.00,1/27,,36x24,lmj2132,Paid,,,,,,,,,
pam2176_Rothstein_Asgn0.pdf,pam2176,Completed,Mylar,$9.00 ,0.00,1/27,,36x12,lmj2132,Paid,,,,,,,,,
hcn2109_phase_0.pdf,hcn2109,Completed,Mylar,$9.00 ,0.00,1/27,,36x12,lmj2132,Paid,,,,,,,,,
gjp2124 Phase1_Boards.pdf,gjp2124,Completed,Heavyweight Bond,$6.00 ,6.53,1/27,,36x12,lmj2132,Paid,,,,,,,,,
karla.pdf,????,Cancelled: no UNI,Lightweight Bond,,0.00,,2:28 PM,,,,,,,,,,,,
sl3620_karla.pdf,sl3620,Completed,Lightweight Bond,$8.00 ,8.71,1/27,,36x24,lmj2132,Paid,,,,,,,,,
plot.pdf,????,Cancelled: no UNI,Lightweight Bond,,0.00,1/27,2:28 PM,,,,,,,,,,,,
eo2319_plot.pdf,eo2319,Completed,Lightweight Bond,$16.00 ,17.42,1/27,2:28 PM,36x48,lmj2132,Paid,,,,,,,,,
zee2104 Jersalem Timeline mk3.psd,zee2104,Completed,Lightweight Bond,16,17.42,1/27,2:28 PM,36x48,lmj2132,Paid,,,,,,,,,
bmm2155_rudolph.pdf,bmm2155,Completed,Heavyweight Bond,$72.00 ,78.39,1/27,2:28 PM,36x48 (x3),lmj2132,Paid,,,,,,,,,
am3709_142008.pdf,am3709,Completed,"Satin ""Semi"" Gloss",$54.00 ,58.79,1/27,2:28 PM,36x72,Diana,Unpaid,,,,,,,,,
mym2107_Final001.pdf,mym2107,Completed,Heavyweight Bond,$96.00 ,104.52,1/27,,36x96 (x2),sjh2175,Paid,,,,,,,,,
        Power of X doc.pdf,????,Cancelled: no UNI,Heavyweight Bond,,0.00,1/27,2:28 PM,,,,,,,,,,,,
Untitled-1mik.ai,????,Cancelled: no UNI,Mylar,$0.00 ,0.00,1/27,2:28 PM,yuo have sent this twice we do not print unless the uni is in the title,,,,,,,,,,,
,,,,,,1/28,,,,,,,,,,,,,
es3099_concrete.pdf,es3099,Completed,"Satin ""Semi"" Gloss",$9.00 ,9.80,1/29,2:28 PM,36x11,sjh2175,Unpaid,,,,,,,,,
es3099_Toledo_BasePlot.pdf,es3099,Completed,"Satin ""Semi"" Gloss",$27.00 ,29.40,1/29,2:28 PM,36x36,Diana,Paid,,,,,,,,,
Full page photo,????,Cancelled: no UNI,,$0.00 ,0.00,1/29,2:28 PM,,,,,,,,,,,,
Presentation_jd3060.pdf,jd3060,Completed,Lightweight Bond,$8.00 ,8.71,1/30,2:28 PM,36x24,hk2658,Paid,,,,,,,,,
A9R5DBA.tmp,????,Cancelled: no UNI,,$0.00 ,0.00,1/30,2:28 PM,,,,,,,,,,,,
ec2950_plaza.pdf,ec2950,Completed,Lightweight Bond,$20.00 ,21.78,1/30,2:28 PM,36x60,hk2658,Paid,,,,,,,,,
Precedent Boards - Macquarie Bldg (1).pdf,????,Cancelled: no UNI,,$0.00 ,0.00,1/30,2:28 PM,,,,,,,,,,,,
gjp2124 Precedent Boards - Macquarie Bldg (1).pdf,gjp2124,Problem: check email,Lightweight Bond,$0.00 ,0.00,1/30,2:28 PM,,,,,,,,,,,,
hwr2105_SiteMapBase.pdf,hwr2105,Completed,Heavyweight Bond,$18.00 ,19.60,1/30,2:28 PM,36x30,hk2658,Paid,,,,,,,,,
mtk2127 precedent research.pdf,mtk2127,Completed,Lightweight Bond,$8.00 ,8.71,1/30,2:28 PM,36x24,hk2658,Unpaid,,,,,,,,,
gjp2124 Precedent Boards - Macquarie Bldg (1),gjp2124,Completed,Lightweight Bond,$8.00 ,8.71,1/30,2:28 PM,36x24,hk2658,Paid,,,,,,,,,
PRECEDENT LAYOUT.pdf,????,Cancelled: no UNI,Heavyweight Bond,$0.00 ,0.00,1/30,2:28 PM,,unknown,Student Error,,,,,,,,,
futura test.pdf,????,Cancelled: no UNI,Heavyweight Bond,$0.00 ,0.00,1/30,2:28 PM,,unknown,Student Error,,,,,,,,,
MC3275_Precedents.pdf,MC3275,Completed,Heavyweight Bond,$24.00 ,26.13,1/30,2:28 PM,36x48,hk2658,Paid,,,,,,,,,
msm2219_Precedent Study Boards_PRINT.pdf,msm2219,Completed,Heavyweight Bond,$24.00 ,26.13,1/30,2:28 PM,36x48,hk2658,Unpaid,,,,,,,,,
cjb2195-PRECEDENT LAYOUT.pdf,cjb2195,Completed,Heavyweight Bond,$12.00 ,13.07,1/31,2:28 PM,arch d,kr2202,Unpaid,,,,,,,,,
yg2341_ShinkinBank_2 12 by 36).pdf,yg2341,Completed,Heavyweight Bond,$6.00 ,6.53,1/31,2:28 PM,12x36,kr2202,Unpaid,,,,,,,,,
yg2341_ShinkinBank_1 (24by36).pdf,yg2341,Completed,Heavyweight Bond,$12.00 ,13.07,1/31,2:28 PM,24x36,kr2202,Unpaid,,,,,,,,,
MI2323_PLOT_JAN31.pdf,mi2323,Completed,Heavyweight Bond,$12.00 ,13.07,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
jwl2158_precedence.pdf,jwl2158,Completed,Heavyweight Bond,$12.00 ,13.07,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
Snt2117_BoardComplete.pdf,snt2117,Completed,"Satin ""Semi"" Gloss",$18.00 ,19.60,1/31,2:28 PM,18x36,kr2202,Unpaid,,,,,,,,,
jf2838_case study.pdf,jf2838,Completed,Lightweight Bond,$16.00 ,17.42,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
iw2181_precedents.pdf,iw2181,Completed,Lightweight Bond,$12.00 ,13.07,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
lmd2187 - Object Lessons.pdf,lmd2187,Completed,Lightweight Bond,$16.00 ,17.42,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
cmt2176_boards_Arbizu.pdf,cmt2176,Completed,Lightweight Bond,$16.00 ,17.42,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
zlm2105_FinalSaxoBank Flat.pdf,zlm2105,Completed,Lightweight Bond,$8.00 ,8.71,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
